timestamp_utc,tipo_arb,topic,mercado_a_id,mercado_b_id,pregunta_a,pregunta_b,umbral_a,umbral_b,price_yes_a,price_yes_b,tipo_cadena,relacion,coste_arb,profit_bruto,profit_neto,accionable,liq_min,fecha,dependencia,posicion,payoff,similitud,llm_flag,llm_razon,AVISO
2026-07-24T22:30:07+00:00,RULE_DEPENDENCY,crypto,2365843,690631,Ostium FDV above $100M one day after launch?,"Will Ostium launch a token by December 31, 2026?",100000000.0,,0.295,0.165,A_implica_B,A_implica_B,0.875,12.5,10.5,True,5106.0,2027-01-01,'Ostium FDV above $100M one day after launch?' implica lanzamiento de ostium → P(lanza)=0.165 ≥ P(FDV>X)=0.295 debe cumplirse,BUY_NO_FDV(0.705) + BUY_YES_LAUNCH(0.165) — FDV implica lanzamiento,profit_neto=10.5%,0.9,False,'Ostium FDV above $100M one day after launch?' implica lanzamiento de ostium → P(lanza)=0.165 ≥ P(FDV>X)=0.295 debe cumplirse,SOLO OBSERVACION — verificar resolución y liquidez
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,2831102,2365843,Ostium FDV above $50M one day after launch?,Ostium FDV above $100M one day after launch?,50000000.0,100000000.0,0.215,0.295,above_up,a_implica_b,0.935,6.5,4.5,True,5272.0,2027-01-01,Si 'Ostium FDV above $50M one day after launch?' → entonces 'Ostium FDV above $100M one day after launch?',BUY_YES mercado_a (0.215) + BUY_NO mercado_b (0.705),min 4.5%  max 104.5%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,RULE_DEPENDENCY,crypto,2831102,690631,Ostium FDV above $50M one day after launch?,"Will Ostium launch a token by December 31, 2026?",50000000.0,,0.215,0.165,A_implica_B,A_implica_B,0.955,4.5,2.5,True,5106.0,2027-01-01,'Ostium FDV above $50M one day after launch?' implica lanzamiento de ostium → P(lanza)=0.165 ≥ P(FDV>X)=0.215 debe cumplirse,BUY_NO_FDV(0.785) + BUY_YES_LAUNCH(0.165) — FDV implica lanzamiento,profit_neto=2.5%,0.9,False,'Ostium FDV above $50M one day after launch?' implica lanzamiento de ostium → P(lanza)=0.165 ≥ P(FDV>X)=0.215 debe cumplirse,SOLO OBSERVACION — verificar resolución y liquidez
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,716651,716652,Pacifica FDV above $800M one day after launch?,Pacifica FDV above $1B one day after launch?,800000000.0,1000000000.0,0.05,0.0775,above_up,a_implica_b,0.9825,1.75,-0.25,False,13269.0,2027-01-01,Si 'Pacifica FDV above $800M one day after launch?' → entonces 'Pacifica FDV above $1B one day after launch?',BUY_YES mercado_a (0.050) + BUY_NO mercado_b (0.922),min -0.2%  max 99.8%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,2100453,1601453,Metamask FDV above $100M one day after launch?,Metamask FDV above $300M one day after launch?,100000000.0,300000000.0,0.155,0.175,above_up,a_implica_b,0.985,1.5,-0.5,False,7393.0,2027-01-01,Si 'Metamask FDV above $100M one day after launch?' → entonces 'Metamask FDV above $300M one day after launch?',BUY_YES mercado_a (0.155) + BUY_NO mercado_b (0.825),min -0.5%  max 99.5%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,1535124,618454,Opensea FDV above $300M one day after launch?,Opensea FDV above $500M one day after launch?,300000000.0,500000000.0,0.175,0.1945,above_up,a_implica_b,0.9855,1.45,-0.55,False,10564.0,2027-01-01,Si 'Opensea FDV above $300M one day after launch?' → entonces 'Opensea FDV above $500M one day after launch?',BUY_YES mercado_a (0.175) + BUY_NO mercado_b (0.805),min -0.6%  max 99.4%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,705800,705801,Makina FDV above $100M one day after launch?,Makina FDV above $200M one day after launch?,100000000.0,200000000.0,0.075,0.088,above_up,a_implica_b,0.992,0.8,-1.2,False,6491.0,2027-01-01,Si 'Makina FDV above $100M one day after launch?' → entonces 'Makina FDV above $200M one day after launch?',BUY_YES mercado_a (0.075) + BUY_NO mercado_b (0.912),min -1.2%  max 98.8%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,897228,897229,Tabi FDV above $500M one day after launch?,Tabi FDV above $1B one day after launch?,500000000.0,1000000000.0,0.13,0.145,above_up,a_implica_b,0.995,0.5,-1.5,False,5842.0,2027-01-01,Si 'Tabi FDV above $500M one day after launch?' → entonces 'Tabi FDV above $1B one day after launch?',BUY_YES mercado_a (0.130) + BUY_NO mercado_b (0.855),min -1.5%  max 98.5%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,667004,665533,Metamask FDV above $2B one day after launch?,Metamask FDV above $3B one day after launch?,2000000000.0,3000000000.0,0.0465,0.0545,above_up,a_implica_b,0.9955,0.45,-1.55,False,13115.0,2027-01-01,Si 'Metamask FDV above $2B one day after launch?' → entonces 'Metamask FDV above $3B one day after launch?',BUY_YES mercado_a (0.046) + BUY_NO mercado_b (0.946),min -1.6%  max 98.4%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,701504,1343219,"Will Bitcoin dip to $25,000 by December 31, 2026?","Will Bitcoin dip to $20,000 by December 31, 2026?",25000.0,20000.0,0.043,0.044,below_down,a_implica_b,1.0,0.0,-2.0,False,75356.0,2027-01-01,"Si 'Will Bitcoin dip to $25,000 by December 31, 2026?' → entonces 'Will Bitcoin dip to $20,000 by December 31, 2026?'",BUY_YES mercado_a (0.043) + BUY_NO mercado_b (0.956),min -2.0%  max 98.0%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,704276,704277,Ostium FDV above $2B one day after launch?,Ostium FDV above $3B one day after launch?,2000000000.0,3000000000.0,0.0445,0.0525,above_up,a_implica_b,1.0015,-0.15,-2.15,False,12551.0,2027-01-01,Si 'Ostium FDV above $2B one day after launch?' → entonces 'Ostium FDV above $3B one day after launch?',BUY_YES mercado_a (0.044) + BUY_NO mercado_b (0.948),min -2.2%  max 97.8%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,936450,618456,Opensea FDV above $2B one day after launch?,Opensea FDV above $3B one day after launch?,2000000000.0,3000000000.0,0.045,0.0455,above_up,a_implica_b,1.0045,-0.45,-2.45,False,16155.0,2027-01-01,Si 'Opensea FDV above $2B one day after launch?' → entonces 'Opensea FDV above $3B one day after launch?',BUY_YES mercado_a (0.045) + BUY_NO mercado_b (0.955),min -2.4%  max 97.5%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,2365869,2365870,Tabi FDV above $100M one day after launch?,Tabi FDV above $250M one day after launch?,100000000.0,250000000.0,0.105,0.125,above_up,a_implica_b,1.005,-0.5,-2.5,False,5223.0,2027-01-01,Si 'Tabi FDV above $100M one day after launch?' → entonces 'Tabi FDV above $250M one day after launch?',BUY_YES mercado_a (0.105) + BUY_NO mercado_b (0.875),min -2.5%  max 97.5%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,3017911,3017917,"Will the price of Bitcoin be above $68,000 on July 28?","Will the price of Bitcoin be above $70,000 on July 28?",68000.0,70000.0,0.04,0.041,above_up,a_implica_b,1.008,-0.8,-2.8,False,14196.0,2026-07-28,"Si 'Will the price of Bitcoin be above $68,000 on July' → entonces 'Will the price of Bitcoin be above $70,000 on July'",BUY_YES mercado_a (0.040) + BUY_NO mercado_b (0.959),min -2.8%  max 97.2%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,716650,716651,Pacifica FDV above $500M one day after launch?,Pacifica FDV above $800M one day after launch?,500000000.0,800000000.0,0.0405,0.05,above_up,a_implica_b,1.01,-1.0,-3.0,False,14049.0,2027-01-01,Si 'Pacifica FDV above $500M one day after launch?' → entonces 'Pacifica FDV above $800M one day after launch?',BUY_YES mercado_a (0.041) + BUY_NO mercado_b (0.950),min -3.0%  max 97.0%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
2026-07-24T22:30:07+00:00,MONOTONICITY,crypto,2365870,897228,Tabi FDV above $250M one day after launch?,Tabi FDV above $500M one day after launch?,250000000.0,500000000.0,0.125,0.13,above_up,a_implica_b,1.02,-2.0,-4.0,False,5223.0,2027-01-01,Si 'Tabi FDV above $250M one day after launch?' → entonces 'Tabi FDV above $500M one day after launch?',BUY_YES mercado_a (0.125) + BUY_NO mercado_b (0.870),min -4.0%  max 96.0%,1.0,False,Monotonicidad matemática,SOLO OBSERVACION — verificar criterios de resolución
